"","cell","x","y","GD_mean","GD_median","nb_species","nb_indv_mean","nb_indv_median","nb_indv_sd","ISO3","Cell","cloMeanVal","cloMinVal","cloMaxVal","bathyVal","AP","HDI_2015","fshD","O2","SST","VEL","is_marine","SlopeAbsMin","SlopeAvgMin","SlopeAbsMax","SlopeAvgMax","SlopeRange","SlopeAvg","FlowAcc"
"1",1062,-14467530.4452,-2242230.1365,0,0,1,2,2,NA,"PYF","Sea",0.0473671402049234,0.0396125759952088,0.0575720081238065,-3133.15656565657,FALSE,"0.897",0.159969898,4,25.9539969856777,1.25799505133182,0,NA,NA,NA,NA,NA,NA,NA
"2",2060,-11867530.4452,4957769.8635,0.000613496932515337,0,3,4.66666666666667,5,0.577350269189626,"USA","Land",NA,NA,NA,939.301536856086,TRUE,"0.920",0.05036092,5.68933781243093,9.26769796520814,3.04310622038031,0,0,82.7159907597536,2426,1458.29106776181,1375.93095482546,599.353054414784,2164.71778747433
"3",2061,-11867530.4452,5157769.8635,0.00368098159509202,0.00368098159509202,1,5,5,NA,"USA","Land",4.91680001020432,1.20180000066757,11.7967000126839,408.004947546841,TRUE,"0.920",0.05036092,5.92951886860551,8.42129643555736,3.61327560638127,0,0,46.0903073286052,4392,1272.18676122931,1226.08817966903,464.733924349882,24920.980141844
"4",2062,-11867530.4452,5357769.8635,0.000758894793936134,0.000758894793936134,2,3,3,1.4142135623731,"USA","Land",10.6601203558622,5.21112961680801,20.4752592367155,322.606557617331,TRUE,"0.920",0.05036092,5.9934102996769,7.07478934799519,4.49300536434671,0,0,52.6423849643552,4392,1479.35100453662,1426.99883344135,542.467919637071,22907.7600777706
"5",2131,-11667530.4452,4357769.8635,0,0,1,2,2,NA,"USA","Land",3.51120288648467,1.12169564936472,6.91585503799328,231.704018413402,TRUE,"0.920",0.05036092,5.20277156488527,12.8482360193829,2.99127238441178,0,0,35.6514616579579,3429,960.24205620675,924.767688179636,315.983900579014,2703.44951278068
"6",2133,-11667530.4452,4757769.8635,0.0148261758691207,0.0148261758691207,2,3,3,0,"USA","Land",NA,NA,NA,1462.41978101233,TRUE,"0.920",0.05036092,5.71369365570643,9.66118127283073,3.15361759771726,0,0,50.4911308203991,2546,1152.75006159153,1102.62478442966,403.225301798473,1150.4595959596
"7",2136,-11667530.4452,5357769.8635,0.00204498977505112,0.00204498977505112,1,3,3,NA,"USA","Land",NA,NA,NA,939.440781728279,TRUE,"0.920",0.05036092,5.98914425778295,6.69784314235309,4.55123981960225,0,0,91.7400931077552,4392,1739.4939252867,1648.4426024753,706.571817872147,13665.6975133417
"8",2138,-11667530.4452,5757769.8635,0.00183091915149637,0.00183091915149637,1,5,5,NA,"CAN","Land",NA,NA,NA,1225.82625120566,TRUE,"0.920",0.072074993,6.00853831222738,3.20131089005974,10.8194145463614,0,0,60.1891891891892,3945,1634.14648456285,1574.01942868135,616.486197941714,5233.88612099644
"9",2204,-11467530.4452,4157769.8635,0.00368098159509202,0.00368098159509202,1,5,5,NA,"USA","Land",2.50304761197832,0.928476190756238,6.44527777130642,472.695624603678,TRUE,"0.920",0.05036092,5.08164334983102,15.3953031184229,3.51954942916225,0,0,60.1556319862425,3429,1207.34703353396,1147.49527085125,441.066723989682,762.313155631986
"10",2205,-11467530.4452,4357769.8635,0.00180640763462849,0.00204498977505112,3,3.33333333333333,3,1.52752523165195,"USA","Land",NA,NA,NA,1327.49812985849,TRUE,"0.920",0.05036092,5.2367696015652,13.3111865014259,3.36682859929395,0,0,90.968108743955,3429,1565.38818455104,1474.74317082734,605.334858188472,1500.60462684616
