iso2	lat	lon	iso3
AD	42.546245	1.601554	AND
AE	23.424076	53.847818	ARE
AF	33.93911	67.709953	AFG
AG	17.060816	-61.796428	ATG
AI	18.220554	-63.068615	AIA
AL	41.153332	20.168331	ALB
AM	40.069099	45.038189	ARM
AN	12.226079	-69.060087	ANT
AO	-11.202692	17.873887	AGO
AQ	-75.250973	-0.071389	ATA
AR	-38.416097	-63.616672	ARG
AS	-14.270972	-170.132217	ASM
AT	47.516231	14.550072	AUT
AU	-25.274398	133.775136	AUS
AW	12.52111	-69.968338	ABW
AZ	40.143105	47.576927	AZE
BA	43.915886	17.679076	BIH
BB	13.193887	-59.543198	BRB
BD	23.684994	90.356331	BGD
BE	50.503887	4.469936	BEL
BF	12.238333	-1.561593	BFA
BG	42.733883	25.48583	BGR
BH	25.930414	50.637772	BHR
BI	-3.373056	29.918886	BDI
BJ	9.30769	2.315834	BEN
BM	32.321384	-64.75737	BMU
BN	4.535277	114.727669	BRN
BO	-16.290154	-63.588653	BOL
BR	-14.235004	-51.92528	BRA
BS	25.03428	-77.39628	BHS
BT	27.514162	90.433601	BTN
BV	-54.423199	3.413194	BVT
BW	-22.328474	24.684866	BWA
BY	53.709807	27.953389	BLR
BZ	17.189877	-88.49765	BLZ
CA	56.130366	-106.346771	CAN
CC	-12.164165	96.870956	CCK
CF	6.611111	20.939444	CAF
CG	-0.228021	15.827659	COG
CH	46.818188	8.227512	CHE
CI	7.539989	-5.54708	CIV
CK	-21.236736	-159.777671	COK
CL	-35.675147	-71.542969	CHL
CM	7.369722	12.354722	CMR
CN	35.86166	104.195397	CHN
CO	4.570868	-74.297333	COL
CR	9.748917	-83.753428	CRI
CU	21.521757	-77.781167	CUB
CV	16.002082	-24.013197	CPV
CX	-10.447525	105.690449	CXR
CY	35.126413	33.429859	CYP
CZ	49.817492	15.472962	CZE
DE	51.165691	10.451526	DEU
DJ	11.825138	42.590275	DJI
DK	56.26392	9.501785	DNK
DM	15.414999	-61.370976	DMA
DO	18.735693	-70.162651	DOM
DZ	28.033886	1.659626	DZA
EC	-1.831239	-78.183406	ECU
EE	58.595272	25.013607	EST
EG	26.820553	30.802498	EGY
EH	24.215527	-12.885834	ESH
ER	15.179384	39.782334	ERI
ES	40.463667	-3.74922	ESP
ET	9.145	40.489673	ETH
FI	61.92411	25.748151	FIN
FJ	-16.578193	179.414413	FJI
FK	-51.796253	-59.523613	FLK
FM	7.425554	150.550812	FSM
FO	61.892635	-6.911806	FRO
FR	46.227638	2.213749	FRA
GA	-0.803689	11.609444	GAB
GB	55.378051	-3.435973	GBR
GD	12.262776	-61.604171	GRD
GE	42.315407	43.356892	GEO
GF	3.933889	-53.125782	GUF
GH	7.946527	-1.023194	GHA
GI	36.137741	-5.345374	GIB
GL	71.706936	-42.604303	GRL
GM	13.443182	-15.310139	GMB
GN	9.945587	-9.696645	GIN
GP	16.995971	-62.067641	GLP
GQ	1.650801	10.267895	GNQ
GR	39.074208	21.824312	GRC
GS	-54.429579	-36.587909	SGS
GT	15.783471	-90.230759	GTM
GU	13.444304	144.793731	GUM
GW	11.803749	-15.180413	GNB
GY	4.860416	-58.93018	GUY
HK	22.396428	114.109497	HKG
HM	-53.08181	73.504158	HMD
HN	15.199999	-86.241905	HND
HR	45.1	15.2	HRV
HT	18.971187	-72.285215	HTI
HU	47.162494	19.503304	HUN
ID	-0.789275	113.921327	IDN
IE	53.41291	-8.24389	IRL
IL	31.046051	34.851612	ISR
IN	20.593684	78.96288	IND
IO	-6.343194	71.876519	IOT
IQ	33.223191	43.679291	IRQ
IR	32.427908	53.688046	IRN
IS	64.963051	-19.020835	ISL
IT	41.87194	12.56738	ITA
JM	18.109581	-77.297508	JAM
JO	30.585164	36.238414	JOR
JP	36.204824	138.252924	JPN
KE	-0.023559	37.906193	KEN
KG	41.20438	74.766098	KGZ
KH	12.565679	104.990963	KHM
KI	-3.370417	-168.734039	KIR
KM	-11.875001	43.872219	COM
KN	17.357822	-62.782998	KNA
KP	40.339852	127.510093	PRK
KR	35.907757	127.766922	KOR
KW	29.31166	47.481766	KWT
KY	19.513469	-80.566956	CYM
KZ	48.019573	66.923684	KAZ
LA	19.85627	102.495496	LAO
LB	33.854721	35.862285	LBN
LC	13.909444	-60.978893	LCA
LI	47.166	9.555373	LIE
LK	7.873054	80.771797	LKA
LR	6.428055	-9.429499	LBR
LS	-29.609988	28.233608	LSO
LT	55.169438	23.881275	LTU
LU	49.815273	6.129583	LUX
LV	56.879635	24.603189	LVA
LY	26.3351	17.228331	LBY
MA	31.791702	-7.09262	MAR
MC	43.750298	7.412841	MCO
MD	47.411631	28.369885	MDA
MG	-18.766947	46.869107	MDG
MH	7.131474	171.184478	MHL
MK	41.608635	21.745275	MKD
ML	17.570692	-3.996166	MLI
MM	21.913965	95.956223	MMR
MN	46.862496	103.846656	MNG
MO	22.198745	113.543873	MAC
MP	17.33083	145.38469	MNP
MQ	14.641528	-61.024174	MTQ
MR	21.00789	-10.940835	MRT
