"","cell","left","top","right","bottom","Distance_from_shore"
"1",3,-17367530.4452,-6742230.1365,-17167530.4452,-6942230.1365,906.077955906208
"2",55,-17367530.4452,3657769.8635,-17167530.4452,3457769.8635,1170.34086372739
"3",66,-17367530.4452,5857769.8635,-17167530.4452,5657769.8635,62.717589663186
"4",86,-17167530.4452,-4942230.1365,-16967530.4452,-5142230.1365,74.3207251068257
"5",140,-17167530.4452,5857769.8635,-16967530.4452,5657769.8635,55.8212457454278
"6",146,-17167530.4452,7057769.8635,-16967530.4452,6857769.8635,154.04573454867
"7",150,-16967530.4452,-6942230.1365,-16767530.4452,-7142230.1365,447.759878799097
"8",160,-16967530.4452,-4942230.1365,-16767530.4452,-5142230.1365,170.144391372134
"9",172,-16967530.4452,-2542230.1365,-16767530.4452,-2742230.1365,63.8910547852606
"10",214,-16967530.4452,5857769.8635,-16767530.4452,5657769.8635,63.1722896069469
"11",217,-16967530.4452,6457769.8635,-16767530.4452,6257769.8635,200.77180360459
"12",220,-16967530.4452,7057769.8635,-16767530.4452,6857769.8635,286.528508089027
"13",250,-16767530.4452,-1742230.1365,-16567530.4452,-1942230.1365,90.1416709478705
"14",288,-16767530.4452,5857769.8635,-16567530.4452,5657769.8635,73.3011320459883
"15",289,-16767530.4452,6057769.8635,-16567530.4452,5857769.8635,199.311980187893
"16",293,-16767530.4452,6857769.8635,-16567530.4452,6657769.8635,104.867333999387
"17",362,-16567530.4452,5857769.8635,-16367530.4452,5657769.8635,91.1045399792695
"18",363,-16567530.4452,6057769.8635,-16367530.4452,5857769.8635,136.916728245936
"19",364,-16567530.4452,6257769.8635,-16367530.4452,6057769.8635,92.2791054807305
"20",365,-16567530.4452,6457769.8635,-16367530.4452,6257769.8635,173.971801680488
"21",366,-16567530.4452,6657769.8635,-16367530.4452,6457769.8635,68.9418332279895
"22",367,-16567530.4452,6857769.8635,-16367530.4452,6657769.8635,110.370645058283
"23",438,-16367530.4452,6257769.8635,-16167530.4452,6057769.8635,134.757030080472
"24",440,-16367530.4452,6657769.8635,-16167530.4452,6457769.8635,85.0435697436907
"25",441,-16367530.4452,6857769.8635,-16167530.4452,6657769.8635,121.700298053691
"26",442,-16367530.4452,7057769.8635,-16167530.4452,6857769.8635,404.534180456278
"27",512,-16167530.4452,6257769.8635,-15967530.4452,6057769.8635,207.050535270146
"28",513,-16167530.4452,6457769.8635,-15967530.4452,6257769.8635,54.2021733567051
"29",514,-16167530.4452,6657769.8635,-15967530.4452,6457769.8635,81.1884969986103
"30",515,-16167530.4452,6857769.8635,-15967530.4452,6657769.8635,57.0612668261588
"31",516,-16167530.4452,7057769.8635,-15967530.4452,6857769.8635,317.168879523569
"32",517,-16167530.4452,7257769.8635,-15967530.4452,7057769.8635,851.108903709499
"33",585,-15967530.4452,6057769.8635,-15767530.4452,5857769.8635,55.6883994466429
"34",588,-15967530.4452,6657769.8635,-15767530.4452,6457769.8635,36.4746435754783
"35",589,-15967530.4452,6857769.8635,-15767530.4452,6657769.8635,28.555990605017
"36",590,-15967530.4452,7057769.8635,-15767530.4452,6857769.8635,261.460535640619
"37",591,-15967530.4452,7257769.8635,-15767530.4452,7057769.8635,739.341787031327
"38",660,-15767530.4452,6257769.8635,-15567530.4452,6057769.8635,95.420106648084
"39",661,-15767530.4452,6457769.8635,-15567530.4452,6257769.8635,44.3578847244914
"40",662,-15767530.4452,6657769.8635,-15567530.4452,6457769.8635,25.549489289682
"41",664,-15767530.4452,7057769.8635,-15567530.4452,6857769.8635,227.120401137094
"42",690,-15567530.4452,-2542230.1365,-15367530.4452,-2742230.1365,82.0541092962027
"43",703,-15567530.4452,57769.8635,-15367530.4452,-142230.1365,355.990126258449
"44",733,-15567530.4452,6057769.8635,-15367530.4452,5857769.8635,76.6088202667254
"45",734,-15567530.4452,6257769.8635,-15367530.4452,6057769.8635,59.2231368005903
"46",738,-15567530.4452,7057769.8635,-15367530.4452,6857769.8635,184.415993036516
"47",790,-15367530.4452,2657769.8635,-15167530.4452,2457769.8635,86.2675041257583
"48",791,-15367530.4452,2857769.8635,-15167530.4452,2657769.8635,65.2843934532031
"49",808,-15367530.4452,6257769.8635,-15167530.4452,6057769.8635,30.8900706508818
"50",809,-15367530.4452,6457769.8635,-15167530.4452,6257769.8635,9.50092100202002
"51",812,-15367530.4452,7057769.8635,-15167530.4452,6857769.8635,161.305088700847
"52",863,-15167530.4452,2457769.8635,-14967530.4452,2257769.8635,69.7176547462328
"53",864,-15167530.4452,2657769.8635,-14967530.4452,2457769.8635,35.9437357808214
"54",882,-15167530.4452,6257769.8635,-14967530.4452,6057769.8635,36.9375024951876
"55",886,-15167530.4452,7057769.8635,-14967530.4452,6857769.8635,144.324865642314
"56",960,-14967530.4452,7057769.8635,-14767530.4452,6857769.8635,159.574663098688
"57",1030,-14767530.4452,6257769.8635,-14567530.4452,6057769.8635,83.1323111844456
"58",1031,-14767530.4452,6457769.8635,-14567530.4452,6257769.8635,24.3397050285141
"59",1032,-14767530.4452,6657769.8635,-14567530.4452,6457769.8635,NA
"60",1034,-14767530.4452,7057769.8635,-14567530.4452,6857769.8635,165.090592240296
"61",1062,-14567530.4452,-2142230.1365,-14367530.4452,-2342230.1365,55.8510821907944
"62",1063,-14567530.4452,-1942230.1365,-14367530.4452,-2142230.1365,82.7354456171393
"63",1067,-14567530.4452,-1142230.1365,-14367530.4452,-1342230.1365,552.363156165755
"64",1105,-14567530.4452,6457769.8635,-14367530.4452,6257769.8635,42.3598023778678
"65",1106,-14567530.4452,6657769.8635,-14367530.4452,6457769.8635,NA
"66",1108,-14567530.4452,7057769.8635,-14367530.4452,6857769.8635,184.873233728694
"67",1138,-14367530.4452,-1742230.1365,-14167530.4452,-1942230.1365,64.8532084031504
"68",1179,-14367530.4452,6457769.8635,-14167530.4452,6257769.8635,48.6827572327058
"69",1180,-14367530.4452,6657769.8635,-14167530.4452,6457769.8635,NA
"70",1182,-14367530.4452,7057769.8635,-14167530.4452,6857769.8635,192.89294227066
"71",1256,-14167530.4452,7057769.8635,-13967530.4452,6857769.8635,202.59642872049
"72",1330,-13967530.4452,7057769.8635,-13767530.4452,6857769.8635,205.543655622751
"73",1437,-13567530.4452,-1142230.1365,-13367530.4452,-1342230.1365,43.0671955129766
"74",1476,-13567530.4452,6657769.8635,-13367530.4452,6457769.8635,NA
"75",1548,-13367530.4452,6257769.8635,-13167530.4452,6057769.8635,123.556011382928
"76",1552,-13367530.4452,7057769.8635,-13167530.4452,6857769.8635,239.052015166959
"77",1622,-13167530.4452,6257769.8635,-12967530.4452,6057769.8635,39.1281494946109
"78",1623,-13167530.4452,6457769.8635,-12967530.4452,6257769.8635,6.12420667653325
"79",1696,-12967530.4452,6257769.8635,-12767530.4452,6057769.8635,7.88870610273841
"80",1768,-12767530.4452,5857769.8635,-12567530.4452,5657769.8635,71.1045542913272
"81",1769,-12767530.4452,6057769.8635,-12567530.4452,5857769.8635,22.5237650377191
"82",1770,-12767530.4452,6257769.8635,-12567530.4452,6057769.8635,5.27489820899638
"83",1779,-12567530.4452,-6742230.1365,-12367530.4452,-6942230.1365,487.919263472924
"84",1841,-12567530.4452,5657769.8635,-12367530.4452,5457769.8635,154.358609902448
"85",1842,-12567530.4452,5857769.8635,-12367530.4452,5657769.8635,59.2791098417097
"86",1915,-12367530.4452,5657769.8635,-12167530.4452,5457769.8635,73.2189309266795
"87",1916,-12367530.4452,5857769.8635,-12167530.4452,5657769.8635,9.41676104258578
"88",1985,-12167530.4452,4857769.8635,-11967530.4452,4657769.8635,92.6165056670898
"89",1986,-12167530.4452,5057769.8635,-11967530.4452,4857769.8635,84.9495973152535
"90",1987,-12167530.4452,5257769.8635,-11967530.4452,5057769.8635,105.926641512074
"91",1988,-12167530.4452,5457769.8635,-11967530.4452,5257769.8635,91.1955820390505
"92",1989,-12167530.4452,5657769.8635,-11967530.4452,5457769.8635,25.3089788306083
"93",2057,-11967530.4452,4457769.8635,-11767530.4452,4257769.8635,96.7149491328576
"94",2058,-11967530.4452,4657769.8635,-11767530.4452,4457769.8635,38.3894974097722
"95",2059,-11967530.4452,4857769.8635,-11767530.4452,4657769.8635,13.4509040415287
"96",2060,-11967530.4452,5057769.8635,-11767530.4452,4857769.8635,NA
"97",2061,-11967530.4452,5257769.8635,-11767530.4452,5057769.8635,7.68899785665174
"98",2062,-11967530.4452,5457769.8635,-11767530.4452,5257769.8635,5.29192114559313
"99",2063,-11967530.4452,5657769.8635,-11767530.4452,5457769.8635,8.81078592700339
"100",2130,-11767530.4452,4257769.8635,-11567530.4452,4057769.8635,57.2883022518603
"101",2131,-11767530.4452,4457769.8635,-11567530.4452,4257769.8635,18.1628085279954
"102",2132,-11767530.4452,4657769.8635,-11567530.4452,4457769.8635,5.25481266757617
"103",2133,-11767530.4452,4857769.8635,-11567530.4452,4657769.8635,NA
"104",2134,-11767530.4452,5057769.8635,-11567530.4452,4857769.8635,NA
"105",2135,-11767530.4452,5257769.8635,-11567530.4452,5057769.8635,NA
"106",2136,-11767530.4452,5457769.8635,-11567530.4452,5257769.8635,NA
"107",2138,-11767530.4452,5857769.8635,-11567530.4452,5657769.8635,NA
"108",2203,-11567530.4452,4057769.8635,-11367530.4452,3857769.8635,67.3779557192494
"109",2204,-11567530.4452,4257769.8635,-11367530.4452,4057769.8635,15.7395427760023
"110",2205,-11567530.4452,4457769.8635,-11367530.4452,4257769.8635,NA
"111",2208,-11567530.4452,5057769.8635,-11367530.4452,4857769.8635,NA
"112",2209,-11567530.4452,5257769.8635,-11367530.4452,5057769.8635,NA
"113",2210,-11567530.4452,5457769.8635,-11367530.4452,5257769.8635,NA
"114",2211,-11567530.4452,5657769.8635,-11367530.4452,5457769.8635,NA
"115",2212,-11567530.4452,5857769.8635,-11367530.4452,5657769.8635,NA
"116",2213,-11567530.4452,6057769.8635,-11367530.4452,5857769.8635,NA
"117",2277,-11367530.4452,4057769.8635,-11167530.4452,3857769.8635,32.7160861452713
"118",2279,-11367530.4452,4457769.8635,-11167530.4452,4257769.8635,NA
"119",2281,-11367530.4452,4857769.8635,-11167530.4452,4657769.8635,NA
"120",2282,-11367530.4452,5057769.8635,-11167530.4452,4857769.8635,NA
"121",2284,-11367530.4452,5457769.8635,-11167530.4452,5257769.8635,NA
"122",2285,-11367530.4452,5657769.8635,-11167530.4452,5457769.8635,NA
"123",2286,-11367530.4452,5857769.8635,-11167530.4452,5657769.8635,NA
"124",2349,-11167530.4452,3657769.8635,-10967530.4452,3457769.8635,29.3870325962251
"125",2351,-11167530.4452,4057769.8635,-10967530.4452,3857769.8635,5.8240992637972
"126",2356,-11167530.4452,5057769.8635,-10967530.4452,4857769.8635,NA
"127",2357,-11167530.4452,5257769.8635,-10967530.4452,5057769.8635,NA
"128",2358,-11167530.4452,5457769.8635,-10967530.4452,5257769.8635,NA
