site,GDval,richness,basepairs
20,0.013086953696159937,213,1107496
30,0.00884296927594574,455,1776418
-10,0.012512863058771442,282,1181017
-20,0.015890253387322795,173,771163
-30,0.013022275040582187,278,2217552
40,0.006062400157950546,213,1728318
-40,0.01992457526434942,81,325914
0,0.015611384408865113,270,1684802
10,0.012046704537593447,139,860166
50,0.007648476710116644,24,140817
-50,0.0009880239083522903,2,4648
60,0.014829008176776732,3,8791
-60,0.0,1,1297
-70,0.003209745950638395,6,56410
-80,0.003948809079445952,6,19294
