site,GDval,richness,basepairs
20,0.017935024566908292,620,2832367
-40,0.011635449603145385,503,2114762
30,0.00951212159922206,669,3399002
40,0.009582840926907338,755,4060396
50,0.006667473643266337,326,1805166
10,0.014528792147769868,861,4649446
-10,0.012930711534478367,200,589261
-20,0.016424627001924725,692,2280341
0,0.016439682315822435,485,4424304
-30,0.01745702974329997,564,1543765
-50,0.005123669078174202,68,194547
60,0.00853886004017079,191,698309
-60,0.006498417314098021,51,156167
-80,0.005055575571793253,40,152142
-70,0.004544791925926114,71,336356
70,0.0048812626830661565,81,513360
80,0.001227465060831378,5,6986
