"cell","left","top","right","bottom","GD_mean","GD_median","nb_species","nb_indv_mean","nb_indv_median","nb_indv_sd"
1062,-1.45675304452e7,-2.1422301365e6,-1.43675304452e7,-2.3422301365e6,0.0,0.0,1,2.0,2.0,NaN
2060,-1.19675304452e7,5.0577698635e6,-1.17675304452e7,4.8577698635e6,0.0006134969325153375,0.0,3,4.666666666666667,5.0,0.5773502691896258
2061,-1.19675304452e7,5.2577698635e6,-1.17675304452e7,5.0577698635e6,0.003680981595092024,0.003680981595092024,1,5.0,5.0,NaN
2062,-1.19675304452e7,5.4577698635e6,-1.17675304452e7,5.2577698635e6,0.0007588947939361343,0.0007588947939361343,2,3.0,3.0,1.4142135623730951
2131,-1.17675304452e7,4.4577698635e6,-1.15675304452e7,4.2577698635e6,0.0,0.0,1,2.0,2.0,NaN
2133,-1.17675304452e7,4.8577698635e6,-1.15675304452e7,4.6577698635e6,0.014826175869120654,0.014826175869120654,2,3.0,3.0,0.0
2136,-1.17675304452e7,5.4577698635e6,-1.15675304452e7,5.2577698635e6,0.002044989775051125,0.002044989775051125,1,3.0,3.0,NaN
2138,-1.17675304452e7,5.8577698635e6,-1.15675304452e7,5.6577698635e6,0.0018309191514963674,0.0018309191514963674,1,5.0,5.0,NaN
2204,-1.15675304452e7,4.2577698635e6,-1.13675304452e7,4.0577698635e6,0.003680981595092025,0.003680981595092025,1,5.0,5.0,NaN
2205,-1.15675304452e7,4.4577698635e6,-1.13675304452e7,4.2577698635e6,0.001806407634628494,0.002044989775051125,3,3.3333333333333335,3.0,1.5275252316519465
2208,-1.15675304452e7,5.0577698635e6,-1.13675304452e7,4.8577698635e6,0.0007668711656441718,0.0007668711656441718,2,3.0,3.0,1.4142135623730951
2211,-1.15675304452e7,5.6577698635e6,-1.13675304452e7,5.4577698635e6,0.0,0.0,1,5.0,5.0,NaN
2212,-1.15675304452e7,5.8577698635e6,-1.13675304452e7,5.6577698635e6,0.004608294930875576,0.004608294930875576,1,2.0,2.0,NaN
2213,-1.15675304452e7,6.0577698635e6,-1.13675304452e7,5.8577698635e6,0.003112228783629873,0.003112228783629873,1,5.0,5.0,NaN
2356,-1.11675304452e7,5.0577698635e6,-1.09675304452e7,4.8577698635e6,0.002629272567922875,0.002629272567922875,2,5.5,5.5,2.1213203435596424
2430,-1.09675304452e7,5.0577698635e6,-1.07675304452e7,4.8577698635e6,0.0,0.0,1,4.0,4.0,NaN
2570,-1.05675304452e7,3.4577698635e6,-1.03675304452e7,3.2577698635e6,0.004629629629629629,0.004629629629629629,1,2.0,2.0,NaN
2571,-1.05675304452e7,3.6577698635e6,-1.03675304452e7,3.4577698635e6,0.0030864197530864196,0.0030864197530864196,1,5.0,5.0,NaN
2580,-1.05675304452e7,5.4577698635e6,-1.03675304452e7,5.2577698635e6,0.001226993865030675,0.001226993865030675,1,5.0,5.0,NaN
2642,-1.03675304452e7,3.0577698635e6,-1.01675304452e7,2.8577698635e6,0.0030911901081916537,0.0030911901081916537,1,2.0,2.0,NaN
2645,-1.03675304452e7,3.6577698635e6,-1.01675304452e7,3.4577698635e6,0.0010649627263045792,0.0010649627263045792,1,3.0,3.0,NaN
2648,-1.03675304452e7,4.2577698635e6,-1.01675304452e7,4.0577698635e6,0.019346515356625092,0.019346515356625092,1,5.0,5.0,NaN
2649,-1.03675304452e7,4.4577698635e6,-1.01675304452e7,4.2577698635e6,0.011844231437969175,0.011844231437969175,2,3.5,3.5,0.7071067811865476
2715,-1.01675304452e7,2.8577698635e6,-9.9675304452e6,2.6577698635e6,0.0,0.0,1,3.0,3.0,NaN
2717,-1.01675304452e7,3.2577698635e6,-9.9675304452e6,3.0577698635e6,0.0023517382413087936,0.0009202453987730062,3,4.333333333333333,5.0,1.1547005383792517
2721,-1.01675304452e7,4.0577698635e6,-9.9675304452e6,3.8577698635e6,0.014826175869120654,0.014826175869120654,2,3.0,3.0,0.0
2722,-1.01675304452e7,4.2577698635e6,-9.9675304452e6,4.0577698635e6,0.004601226993865031,0.004601226993865031,1,2.0,2.0,NaN
2723,-1.01675304452e7,4.4577698635e6,-9.9675304452e6,4.2577698635e6,0.0015337423312883436,0.0015337423312883436,1,2.0,2.0,NaN
2726,-1.01675304452e7,5.0577698635e6,-9.9675304452e6,4.8577698635e6,0.012269938650306749,0.012269938650306749,1,2.0,2.0,NaN
2787,-9.9675304452e6,2.4577698635e6,-9.7675304452e6,2.2577698635e6,0.018404907975460127,0.018404907975460127,2,4.0,4.0,1.4142135623730951
2790,-9.9675304452e6,3.0577698635e6,-9.7675304452e6,2.8577698635e6,0.0,0.0,1,2.0,2.0,NaN
2792,-9.9675304452e6,3.4577698635e6,-9.7675304452e6,3.2577698635e6,0.00408997955010225,0.00408997955010225,2,3.5,3.5,0.7071067811865476
2799,-9.9675304452e6,4.8577698635e6,-9.7675304452e6,4.6577698635e6,0.003067484662576687,0.003067484662576687,1,2.0,2.0,NaN
2800,-9.9675304452e6,5.0577698635e6,-9.7675304452e6,4.8577698635e6,0.010863979401605947,0.010118051682468862,4,5.25,4.0,4.272001872658765
2861,-9.7675304452e6,2.4577698635e6,-9.5675304452e6,2.2577698635e6,0.0,0.0,1,2.0,2.0,NaN
2862,-9.7675304452e6,2.6577698635e6,-9.5675304452e6,2.4577698635e6,0.006359300476947535,0.006359300476947535,1,3.0,3.0,NaN
2863,-9.7675304452e6,2.8577698635e6,-9.5675304452e6,2.6577698635e6,0.020289745802991137,0.004504040388667443,10,9.1,9.0,5.566766466171264
2864,-9.7675304452e6,3.0577698635e6,-9.5675304452e6,2.8577698635e6,0.019198870951511172,0.005828220858895705,5,4.8,5.0,0.8366600265340756
2865,-9.7675304452e6,3.2577698635e6,-9.5675304452e6,3.0577698635e6,0.020523139914929184,0.0042451796669588085,6,5.0,5.0,1.6733200530681511
2867,-9.7675304452e6,3.6577698635e6,-9.5675304452e6,3.4577698635e6,0.007077647839105796,0.002556237218813906,5,3.2,3.0,0.8366600265340756
2868,-9.7675304452e6,3.8577698635e6,-9.5675304452e6,3.6577698635e6,0.02402862985685072,0.02402862985685072,1,4.0,4.0,NaN
2874,-9.7675304452e6,5.0577698635e6,-9.5675304452e6,4.8577698635e6,0.005981595092024541,0.005981595092024541,2,5.0,5.0,0.0
2936,-9.5675304452e6,2.6577698635e6,-9.3675304452e6,2.4577698635e6,0.017142153648547067,0.005667620546814909,7,9.714285714285714,4.0,12.854497082270283
2937,-9.5675304452e6,2.8577698635e6,-9.3675304452e6,2.6577698635e6,0.009817637511072124,0.003177953980861248,10,12.6,3.0,16.97187215496406
2938,-9.5675304452e6,3.0577698635e6,-9.3675304452e6,2.8577698635e6,0.02189448890936885,0.0060152096505790755,4,6.25,6.0,2.0615528128088303
2941,-9.5675304452e6,3.6577698635e6,-9.3675304452e6,3.4577698635e6,0.003067484662576687,0.003067484662576687,1,2.0,2.0,NaN
2942,-9.5675304452e6,3.8577698635e6,-9.3675304452e6,3.6577698635e6,0.005623721881390593,0.004601226993865031,4,3.25,3.0,1.5
2943,-9.5675304452e6,4.0577698635e6,-9.3675304452e6,3.8577698635e6,0.04374817411627227,0.04374817411627227,1,7.0,7.0,NaN
2944,-9.5675304452e6,4.2577698635e6,-9.3675304452e6,4.0577698635e6,0.002044989775051125,0.002044989775051125,1,3.0,3.0,NaN
