"cell","left","top","right","bottom","GD_mean","GD_median","nb_species","nb_indv_mean","nb_indv_median","nb_indv_sd"
3,-1.73675304452e7,-6.7422301365e6,-1.71675304452e7,-6.9422301365e6,0.008196615203021593,0.0030894012250271908,14,4.214285714285714,5.0,1.1883130530663677
55,-1.73675304452e7,3.6577698635e6,-1.71675304452e7,3.4577698635e6,0.0,0.0,1,2.0,2.0,NaN
66,-1.73675304452e7,5.8577698635e6,-1.71675304452e7,5.6577698635e6,0.0,0.0,1,2.0,2.0,NaN
86,-1.71675304452e7,-4.9422301365e6,-1.69675304452e7,-5.1422301365e6,0.006403025875865012,0.006650525499398437,3,4.666666666666667,5.0,0.5773502691896258
140,-1.71675304452e7,5.8577698635e6,-1.69675304452e7,5.6577698635e6,0.0007498210243121554,0.0,5,4.4,4.0,2.6076809620810595
146,-1.71675304452e7,7.0577698635e6,-1.69675304452e7,6.8577698635e6,0.006144393241167435,0.006144393241167435,1,2.0,2.0,NaN
150,-1.69675304452e7,-6.9422301365e6,-1.67675304452e7,-7.1422301365e6,0.003453279848985371,0.003453279848985371,2,3.0,3.0,1.4142135623730951
160,-1.69675304452e7,-4.9422301365e6,-1.67675304452e7,-5.1422301365e6,0.021087786259541986,0.021087786259541986,1,4.0,4.0,NaN
172,-1.69675304452e7,-2.5422301365e6,-1.67675304452e7,-2.7422301365e6,0.00967405681211855,0.00438716753496024,27,3.5555555555555554,3.0,1.867399123695705
214,-1.69675304452e7,5.8577698635e6,-1.67675304452e7,5.6577698635e6,0.004412891730332556,0.003864440177843772,17,5.176470588235294,5.0,2.8773966992241236
217,-1.69675304452e7,6.4577698635e6,-1.67675304452e7,6.2577698635e6,0.013803680981595092,0.013803680981595092,2,2.5,2.5,0.7071067811865476
220,-1.69675304452e7,7.0577698635e6,-1.67675304452e7,6.8577698635e6,0.004336987122623371,0.0052227342549923195,8,2.75,2.5,1.0350983390135313
250,-1.67675304452e7,-1.7422301365e6,-1.65675304452e7,-1.9422301365e6,0.00315955766192733,0.00315955766192733,1,2.0,2.0,NaN
288,-1.67675304452e7,5.8577698635e6,-1.65675304452e7,5.6577698635e6,0.004031754691460984,0.0031683722920707964,6,3.3333333333333335,3.0,1.5055453054181622
289,-1.67675304452e7,6.0577698635e6,-1.65675304452e7,5.8577698635e6,0.0020739251284711355,0.0020739251284711355,2,2.5,2.5,0.7071067811865476
293,-1.67675304452e7,6.8577698635e6,-1.65675304452e7,6.6577698635e6,0.004879217188162965,0.0015360983102918587,7,3.0,3.0,1.0
362,-1.65675304452e7,5.8577698635e6,-1.63675304452e7,5.6577698635e6,0.0017064846416382253,0.0017064846416382253,2,4.0,4.0,2.8284271247461903
363,-1.65675304452e7,6.0577698635e6,-1.63675304452e7,5.8577698635e6,0.001703030770891824,0.0018460198084610522,3,7.333333333333333,8.0,3.0550504633038935
364,-1.65675304452e7,6.2577698635e6,-1.63675304452e7,6.0577698635e6,0.029185867895545316,0.029185867895545316,1,2.0,2.0,NaN
365,-1.65675304452e7,6.4577698635e6,-1.63675304452e7,6.2577698635e6,0.0015337423312883436,0.0015337423312883436,1,2.0,2.0,NaN
