x	y	cell	GD_mean	GD_median	nb_species	nb_indv_mean	nb_indv_median	nb_indv_sd	ISO3	Cell	cloMeanVal	cloMinVal	cloMaxVal	bathyVal	AP	HDI_2015	fshD	O2	SST	VEL	basin_area	is_marine
-14467530.4452	-2242230.1365	1062	0	0	1	2	2	NA	PYF	Sea	0.047367140204923	0.039612575995209	0.057572008123807	-3133.15656565657	FALSE	0.897	0.159969898	4	25.9539969856777	1.25799505133182	NA	0
-11867530.4452	4957769.8635	2060	0.000613496932515	0	3	4.66666666666667	5	0.577350269189626	USA	Land	NA	NA	NA	939.301536856086	TRUE	0.92	0.05036092	5.68933781243093	9.26769796520814	3.04310622038031	13360.7961118	0
-11867530.4452	5157769.8635	2061	0.003680981595092	0.003680981595092	1	5	5	NA	USA	Land	4.91680001020432	1.20180000066757	11.7967000126839	408.004947546841	TRUE	0.92	0.05036092	5.92951886860551	8.42129643555736	3.61327560638127	653076.429106	0
-11867530.4452	5357769.8635	2062	0.000758894793936	0.000758894793936	2	3	3	1.4142135623731	USA	Land	10.6601203558622	5.21112961680801	20.4752592367155	322.606557617331	TRUE	0.92	0.05036092	5.9934102996769	7.07478934799519	4.49300536434671	5459.55379908	0
-11667530.4452	4357769.8635	2131	0	0	1	2	2	NA	USA	Land	3.51120288648467	1.12169564936472	6.91585503799328	231.704018413402	TRUE	0.92	0.05036092	5.20277156488527	12.8482360193829	2.99127238441178	46151.2374684	0
-11667530.4452	4757769.8635	2133	0.014826175869121	0.014826175869121	2	3	3	0	USA	Land	NA	NA	NA	1462.41978101233	TRUE	0.92	0.05036092	5.71369365570643	9.66118127283073	3.15361759771726	NA	0
-11667530.4452	5357769.8635	2136	0.002044989775051	0.002044989775051	1	3	3	NA	USA	Land	NA	NA	NA	939.440781728279	TRUE	0.92	0.05036092	5.98914425778295	6.69784314235309	4.55123981960225	653076.429106	0
-11667530.4452	5757769.8635	2138	0.001830919151496	0.001830919151496	1	5	5	NA	CAN	Land	NA	NA	NA	1225.82625120566	TRUE	0.92	0.072074993	6.00853831222738	3.20131089005974	10.8194145463614	231574.460226	0
-11467530.4452	4157769.8635	2204	0.003680981595092	0.003680981595092	1	5	5	NA	USA	Land	2.50304761197832	0.928476190756238	6.44527777130642	472.695624603678	TRUE	0.92	0.05036092	5.08164334983102	15.3953031184229	3.51954942916225	4223.51514013	0
-11467530.4452	4357769.8635	2205	0.001806407634628	0.002044989775051	3	3.33333333333333	3	1.52752523165195	USA	Land	NA	NA	NA	1327.49812985849	TRUE	0.92	0.05036092	5.2367696015652	13.3111865014259	3.36682859929395	NA	0
-11467530.4452	4957769.8635	2208	0.000766871165644	0.000766871165644	2	3	3	1.4142135623731	USA	Land	NA	NA	NA	1528.57353824748	TRUE	0.92	0.05036092	6	8.27716516442517	3.83739759841045	NA	0
-11467530.4452	5557769.8635	2211	0	0	1	5	5	NA	CAN	Land	NA	NA	NA	1128.89577823489	TRUE	0.92	0.072074993	5.91046315374393	4.68526509772932	8.7213989565879	653076.429106	0
-11467530.4452	5757769.8635	2212	0.004608294930876	0.004608294930876	1	2	2	NA	CAN	Land	NA	NA	NA	1507.6749656433	TRUE	0.92	0.072074993	5.92555325248025	2.9847226798987	15.707146215033	653076.429106	0
-11467530.4452	5957769.8635	2213	0.00311222878363	0.00311222878363	1	5	5	NA	CAN	Land	NA	NA	NA	1202.05780129865	TRUE	0.92	0.072074993	NA	1.38509076491899	22.9229631525256	1680044.21094	0
-11067530.4452	4957769.8635	2356	0.002629272567923	0.002629272567923	2	5.5	5.5	2.12132034355964	USA	Land	NA	NA	NA	1583.70504063498	TRUE	0.92	0.05036092	NA	6.41380080940464	4.72848313934153	653076.429106	0
-10867530.4452	4957769.8635	2430	0	0	1	4	4	NA	USA	Land	NA	NA	NA	1615.03317881636	TRUE	0.92	0.05036092	NA	6.08229226990256	5.89802108272149	653076.429106	0
-10467530.4452	3357769.8635	2570	0.00462962962963	0.00462962962963	1	2	2	NA	MEX	Land	4.08444449636671	1.24177778760592	9.42500019073486	1068.94242372333	TRUE	0.762	0.063064971	4.33777115919972	18.9214886494603	4.84869427261627	34784.2314503	0
-10467530.4452	3557769.8635	2571	0.003086419753086	0.003086419753086	1	5	5	NA	MEX	Land	NA	NA	NA	1639.22206033436	TRUE	0.762	0.063064971	4.44885389894349	18.113769431153	5.80768493810492	72941.285893	0
-10467530.4452	5357769.8635	2580	0.001226993865031	0.001226993865031	1	5	5	NA	USA	Land	NA	NA	NA	1032.18787558995	TRUE	0.92	0.05036092	NA	5.20420929124156	31.7186907650428	3017672.48742	0
-10267530.4452	2957769.8635	2642	0.003091190108192	0.003091190108192	1	2	2	NA	MEX	Land	1.73646875284612	0.466101564001292	4.11565626133233	661.373121755314	TRUE	0.762	0.063064971	4.05022298158791	19.1547604972467	2.90466857804192	6922.86110108	0
