taxonOrder,taxonFamily,ncbiNumberOfSpecies,boldNumberOfSpecies,boldNumberOfSequences,dcMNumberOfSpecies,dcF346FreshwaterNumberOfSpecies,S2I3C66MNumberOfSpecies,S2I3C75FNumberOfSpecies,S2I4C29MNumberOfSpecies,S2I5C32FNumberOfSpecies,S3I2C74MNumberOfSpecies,S3I2C75FNumberOfSpecies,S8I2C36MNumberOfSpecies,S8I2C34FNumberOfSpecies,dcMNumberOfSequences,dcF346FreshwaterNumberOfSequences,S2I3C66MNumberOfSequences,S2I3C75FNumberOfSequences,S2I4C29MNumberOfSequences,S2I5C32FNumberOfSequences,S3I2C74MNumberOfSequences,S3I2C75FNumberOfSequences,S8I2C36MNumberOfSequences,S8I2C34FNumberOfSequences
Acipenseriformes,Acipenseridae,64,10,62,4,1,3,1,0,1,4,1,2,1,13,2,11,2,0,2,13,2,8,2
Acipenseriformes,Polyodontidae,2,1,3,0,1,0,1,0,1,0,1,0,1,0,3,0,2,0,2,0,3,0,2
Lepisosteiformes,Lepisosteidae,9,3,12,0,3,0,3,0,1,0,2,0,1,0,9,0,8,0,1,0,8,0,4
Amiiformes,Amiidae,1,1,9,0,1,0,1,0,1,0,1,0,1,0,9,0,8,0,5,0,9,0,9
Elopiformes,Elopidae,8,4,20,4,0,4,0,3,0,4,0,4,0,19,0,19,0,14,0,19,0,18,0
Elopiformes,Megalopidae,3,2,28,2,0,2,0,2,0,2,0,2,0,27,0,23,0,13,0,22,0,22,0
Anguilliformes,Anguillidae,22,7,77,6,0,5,0,3,0,6,0,5,0,43,0,36,0,24,0,43,0,37,0
Anguilliformes,Congridae,179,22,119,22,0,16,0,7,0,22,0,22,0,110,0,89,0,29,0,103,0,101,0
Anguilliformes,Muraenesocidae,9,2,5,2,0,2,0,0,0,2,0,2,0,5,0,5,0,0,0,5,0,5,0
Cypriniformes,Cyprinidae,3336,645,6055,128,393,110,341,72,152,121,381,92,295,797,3714,671,3274,438,1971,737,3529,557,2648
Cypriniformes,Catostomidae,118,35,298,0,32,0,32,0,16,0,29,0,25,0,274,0,251,0,94,0,250,0,190
Cypriniformes,Cobitidae,346,35,166,21,6,18,6,6,6,19,6,14,5,82,41,73,37,30,29,76,38,55,35
Characiformes,Anostomidae,109,29,527,0,27,0,27,0,17,0,27,0,23,0,517,0,515,0,384,0,517,0,489
Characiformes,Characidae,1057,139,2310,0,132,0,127,0,88,0,130,0,86,0,2191,0,2142,0,1386,0,2026,0,1116
Siluriformes,Ictaluridae,64,25,198,0,24,0,23,0,9,0,24,0,23,0,183,0,163,0,62,0,178,0,148
Siluriformes,Pangasiidae,41,4,33,2,2,1,1,1,1,2,2,2,2,6,25,4,19,4,19,6,18,6,18
Esociformes,Esocidae,10,6,157,5,0,3,0,3,0,5,0,3,0,25,0,14,0,8,0,22,0,10,0
Osmeriformes,Osmeridae,15,9,227,9,0,9,0,8,0,9,0,8,0,137,0,111,0,77,0,104,0,75,0
Salmoniformes,Salmonidae,355,55,1185,35,1,33,1,22,1,32,1,25,1,419,6,406,6,253,5,362,6,173,6
Gadiformes,Gadidae,33,35,741,35,0,34,0,24,0,35,0,33,0,567,0,399,0,160,0,540,0,406,0
Gadiformes,Merlucciidae,26,10,337,9,0,9,0,4,0,9,0,6,0,309,0,285,0,228,0,287,0,96,0
Batrachoidiformes,Batrachoididae,42,8,38,8,0,8,0,7,0,8,0,8,0,36,0,35,0,31,0,36,0,35,0
Lophiiformes,Lophiidae,20,5,73,5,0,5,0,2,0,5,0,5,0,58,0,39,0,14,0,57,0,40,0
Cyprinodontiformes,Cyprinodontidae,232,31,169,17,3,12,1,6,1,15,3,14,1,113,6,90,3,41,3,100,6,82,3
Cyprinodontiformes,Poeciliidae,280,49,442,19,26,18,20,15,17,18,26,10,15,173,158,158,136,125,90,143,152,63,105
Scorpaeniformes,Cottidae,261,89,1048,76,0,67,0,49,0,74,0,69,0,740,0,570,0,257,0,698,0,552,0
Scorpaeniformes,Cyclopteridae,20,14,179,14,0,14,0,11,0,13,0,7,0,154,0,140,0,96,0,135,0,72,0
Scorpaeniformes,Scorpaenidae,157,124,2110,120,0,117,0,89,0,117,0,116,0,2079,0,1966,0,1587,0,2056,0,1994,0
Cichliformes,Cichlidae,2679,95,1050,1,82,1,68,1,57,1,79,0,69,13,920,13,826,7,676,6,883,0,600
