"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"filterSeq",0,1.9,1.9,1.9,1.9,3.9,1.9,8,4.9,2.9
"filterSpec",0,2,3,8,2,2,3,2,2,2
"numbCells",346,346,262,118,346,171,262,32,113,260
"propCells",1,1,0.7572,0.341,1,0.4942,0.7572,0.0925,0.3266,0.7514
"temperature",0.1344,0.1344,0.1004,0.1236,0.1344,0.0539,0.1004,-0.1295,0.0276,0.1447
"slopeAvg",-0.2258,-0.2258,-0.2004,-0.1642,-0.2258,-0.1473,-0.2004,0.0217,-0.0692,-0.1665
"regions",0.1212,0.1212,0.1498,0.0912,0.1212,0.2185,0.1498,0.3721,0.2554,0.169
"autocor",0.2373,0.2373,0.2198,0.1091,0.2286,0.1717,0.2143,0.1852,0.2977,0.2067
"ajustedRsquare",0.1941,0.1941,0.2454,0.222,0.19,0.2039,0.2423,0.2383,0.2886,0.218
"neighbourhoodRadius",3000,3000,5000,5000,5000,5000,3000,5000,5000,3000
"temperaturePvalue",0.0222,0.0222,0.0919,0.0845,0.0226,0.5115,0.0926,0.3913,0.7607,0.0236
"temperatureDiff",0,0,-0.2533,-0.0808,0,-0.5994,-0.2533,-1.9632,-0.7946,0.0764
"regionsPvalue",0,0,0,0.0019,0,0,0,0.0021,0,0
"regionsDiff",0,0,0.236,-0.2473,0,0.8031,0.236,2.0709,1.1077,0.3953
"autocorPvalue",0,0,0,0.041,0,0.0137,0,0.2071,2e-04,1e-04
"autocorDiff",0,0,-0.0734,-0.5402,-0.0367,-0.2764,-0.097,-0.2197,0.2548,-0.1287
"ajustedRsquareDiff",1e-04,1e-04,0.2645,0.1438,-0.0214,0.0504,0.2482,0.2279,0.4869,0.123
"slopeAvgPvalue",0,0,1e-04,0.0039,0,0.0479,1e-04,0.9002,0.4089,0.0034
"slopeAvgDiff",0,0,-0.1125,-0.2729,0,-0.3479,-0.1125,-1.096,-0.6938,-0.263
