"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"filterSeq",0,1.9,1.9,1.9,1.9,3.9,1.9,8,4.9,2.9
"filterSpec",0,2,3,8,2,2,3,2,2,2
"numbCells",514,514,383,186,514,179,383,28,93,339
"propCells",1,1,0.7451,0.3619,1,0.3482,0.7451,0.0545,0.1809,0.6595
"temperature",0.3412,0.3412,0.3838,0.3766,0.3412,0.3167,0.3838,0.1989,0.3271,0.3269
"slopeAvg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"regions",0.2211,0.2211,0.2126,0.3193,0.2211,0.2532,0.2126,0.5293,0.3565,0.216
"autocor",0.0762,0.0762,0.0893,0.0173,0.0762,0.0159,0.0893,-0.4084,0.0368,0.0954
"ajustedRsquare",0.1598,0.1598,0.2291,0.3441,0.1598,0.1247,0.2291,0.0802,0.1116,0.1733
"neighbourhoodRadius",5000,5000,5000,7000,5000,7000,5000,7000,6000,5000
"temperaturePvalue",0,0,0,0,0,0,0,0.3772,0.0022,0
"temperatureDiff",0,0,0.1249,0.1037,0,-0.0718,0.1249,-0.4169,-0.0414,-0.0419
"regionsPvalue",0.0074,0.0074,0.01,4e-04,0.0074,0.0763,0.01,0.2724,0.0883,0.0272
"regionsDiff",0,0,-0.0385,0.444,0,0.145,-0.0385,1.3934,0.612,-0.0231
"autocorPvalue",0.0624,0.0624,0.0293,0.6899,0.0624,0.8219,0.0293,0.0464,0.7178,0.0476
"autocorDiff",0,0,0.171,-0.7732,0,-0.7915,0.171,-6.3562,-0.5168,0.2518
"ajustedRsquareDiff",-1e-04,-1e-04,0.4336,1.1536,-1e-04,-0.2194,0.4336,-0.4981,-0.3016,0.0848
